0	34	3	0	82	20	23	0	4	0	68	0	0	0	75	0	39	18	47	46	
34	0	0	65	19	91	0	59	15	93	4	0	0	94	0	5	48	85	0	67	
3	0	0	0	0	0	74	71	0	73	0	0	0	0	78	5	48	8	58	0	
0	65	0	0	0	40	74	42	33	2	0	0	91	0	0	0	98	0	22	0	
82	19	0	0	0	0	95	18	0	0	77	0	0	2	0	12	16	84	17	0	
20	91	0	40	0	0	0	0	84	34	24	25	0	93	0	41	0	82	0	0	
23	0	74	74	95	0	0	14	33	0	0	0	0	0	8	0	0	0	14	78	
0	59	71	42	18	0	14	0	0	0	74	0	0	0	0	0	44	0	0	99	
4	15	0	33	0	84	33	0	0	61	0	77	0	0	7	0	36	0	6	0	
0	93	73	2	0	34	0	0	61	0	93	94	0	5	0	69	0	0	0	53	
68	4	0	0	77	24	0	74	0	93	0	52	0	85	0	0	0	0	0	100	
0	0	0	0	0	25	0	0	77	94	52	0	0	3	0	43	0	20	0	53	
0	0	0	91	0	0	0	0	0	0	0	0	0	0	33	0	0	72	75	1	
0	94	0	0	2	93	0	0	0	5	85	3	0	0	0	8	50	89	84	0	
75	0	78	0	0	0	8	0	7	0	0	0	33	0	0	69	16	0	45	0	
0	5	5	0	12	41	0	0	0	69	0	43	0	8	69	0	0	0	0	81	
39	48	48	98	16	0	0	44	36	0	0	0	0	50	16	0	0	89	0	39	
18	85	8	0	84	82	0	0	0	0	0	20	72	89	0	0	89	0	0	63	
47	0	58	22	17	0	14	0	6	0	0	0	75	84	45	0	0	0	0	0	
46	67	0	0	0	0	78	99	0	53	100	53	1	0	0	81	39	63	0	0	
----------------------
